תאריך,מסכת,פרק,משנה,סימן,סעיף
02/07/2014,בכורות,ז,ד-ה,תה-ו-ז,ט-א
03/07/2014,בכורות,ז,ו-ז,תז-ח,ב-א
04/07/2014,בכורות,ח,א-ב,תח,ב-ד
05/07/2014,בכורות,ח,ג-ד,תט,א-ג
06/07/2014,בכורות,ח,ה-ו,תט,ד-ו
07/07/2014,בכורות,ח,ז-ח,תט,ז-ט
08/07/2014,בכורות,ח,ט-י,תט,י-יב
09/07/2014,בכורות,ט,א-ב,תט-י,יג-ב
10/07/2014,בכורות,ט,ג-ד,תי-א-ב,ג-א
11/07/2014,בכורות,ט,ה-ו,תיג-ד,א-ב
12/07/2014,בכורות,ט,ז-ח,תטו,א-ג
13/07/2014,ערכין,א,א-ב,תטו-ז,ד-ב
14/07/2014,ערכין,א,ג-ד,תטז,ג-ה
15/07/2014,ערכין,ב,א-ב,תיז-ח,א-ב
16/07/2014,ערכין,ב,ג-ד,תיח,ג-ה
17/07/2014,ערכין,ב,ה-ו,תיט-כ,א-ב
18/07/2014,ערכין,ג,א-ב,תכא-ב,א-ב
19/07/2014,ערכין,ג,ג-ד,תכב,ג-ה
20/07/2014,ערכין,ג-ד,ה-א,תכב-ג,ו-א
21/07/2014,ערכין,ד,ב-ג,תכג,ב-ד
22/07/2014,ערכין,ד-ה,ד-א,תכד-ה,א-ב
23/07/2014,ערכין,ה,ב-ג,תכה-ו,ג-ב
24/07/2014,ערכין,ה,ד-ה,תכו-ז,ג-א
25/07/2014,ערכין,ה-ו,ו-א,תכח,א-ג
26/07/2014,ערכין,ו,ב-ג,תכח,ד-ו
27/07/2014,ערכין,ו,ד-ה,תכח-ט,ז-א
28/07/2014,ערכין,ז,א-ב,תכט-ל-א,ב-א
29/07/2014,ערכין,ז,ג-ד,תלא-ב,ב-ב
30/07/2014,ערכין,ז-ח,ה-א,תלג,א-ג
31/07/2014,ערכין,ח,ב-ג,תלג,ד-ו
01/08/2014,ערכין,ח,ד-ה,תלג,ז-ט
02/08/2014,ערכין,ח,ו-ז,תלג-ד,י-א
03/08/2014,ערכין,ט,א-ב,תלד,ב-ד
04/08/2014,ערכין,ט,ג-ד,תלה-ו,א-ב
05/08/2014,ערכין,ט,ה-ו,תלו-ז,ג-ב
06/08/2014,ערכין,ט,ז-ח,תלז-ח,ג-א
07/08/2014,תמורה,א,א-ב,תלח-ט,ב-ב
08/08/2014,תמורה,א,ג-ד,תלט-מ,ג-א
09/08/2014,תמורה,א,ה-ו,תמ,ב-ד
10/08/2014,תמורה,ב,א-ב,תמא-ב,א-א
11/08/2014,תמורה,ב-ג,ג-א,תמב,ב-ד
12/08/2014,תמורה,ג,ב-ג,תמב,ה-ז
13/08/2014,תמורה,ג,ד-ה,תמב,ח-י
14/08/2014,תמורה,ד,א-ב,תמב-ג,יא-ב
15/08/2014,תמורה,ד,ג-ד,תמג-ד,ג-ב
16/08/2014,תמורה,ה,א-ב,תמד,ג-ה
17/08/2014,תמורה,ה,ג-ד,תמד,ו-ח
18/08/2014,תמורה,ה,ה-ו,תמה,א-ג
19/08/2014,תמורה,ו,א-ב,תמו,א-ג
20/08/2014,תמורה,ו,ג-ד,תמו-ז,ד-ב
21/08/2014,תמורה,ו-ז,ה-א,תמז,ג-ה
22/08/2014,תמורה,ז,ב-ג,תמז,ו-ח
23/08/2014,תמורה,ז,ד-ה,תמז,ט-יא
24/08/2014,תמורה-כריתות,ז-א,ו-א,תמז-ח,יב-ב
25/08/2014,כריתות,א,ב-ג,תמח,ג-ה
26/08/2014,כריתות,א,ד-ה,תמח-ט,ו-א
27/08/2014,כריתות,א,ו-ז,תנ,א-ג
28/08/2014,כריתות,ב,א-ב,תנ,ד-ו
29/08/2014,כריתות,ב,ג-ד,תנ-א,ז-ב
30/08/2014,כריתות,ב,ה-ו,תנא,ג-ה
31/08/2014,כריתות,ג,א-ב,תנא,ו-ח
01/09/2014,כריתות,ג,ג-ד,תנא,ט-יא
02/09/2014,כריתות,ג,ה-ו,תנא,יב-יד
03/09/2014,כריתות,ג,ז-ח,תנא,טו-יז
04/09/2014,כריתות,ג,ט-י,תנא,יח-כ
05/09/2014,כריתות,ד,א-ב,תנא,כא-כג
06/09/2014,כריתות,ד-ה,ג-א,תנא,כד-כו
07/09/2014,כריתות,ה,ב-ג,תנא-ב,כז-ב
08/09/2014,כריתות,ה,ד-ה,תנב,ג-ה
09/09/2014,כריתות,ה,ו-ז,תנב-ג,ו-א
10/09/2014,כריתות,ה-ו,ח-א,תנג,ב-ד
11/09/2014,כריתות,ו,ב-ג,תנג,ה-ז
12/09/2014,כריתות,ו,ד-ה,תנג-ד,ח-א
13/09/2014,כריתות,ו,ו-ז,תנד,ב-ד
14/09/2014,כריתות,ו,ח-ט,תנה,א-ג
15/09/2014,מעילה,א,א-ב,תנה,ד-ו
16/09/2014,מעילה,א,ג-ד,תנו,א-ג
17/09/2014,מעילה,ב,א-ב,תנז-ח,א-א
18/09/2014,מעילה,ב,ג-ד,תנט,א-ג
19/09/2014,מעילה,ב,ה-ו,תנט,ד-ו
20/09/2014,מעילה,ב,ז-ח,תס,א-ג
21/09/2014,מעילה,ב-ג,ט-א,תס,ד-ו
22/09/2014,מעילה,ג,ב-ג,תס-א,ז-ב
23/09/2014,מעילה,ג,ד-ה,תסא,ג-ה
24/09/2014,מעילה,ג,ו-ז,תסב,א-ג
25/09/2014,מעילה,ג-ד,ח-א,תסב,ד-ו
26/09/2014,מעילה,ד,ב-ג,תסב-ג,ז-ב
27/09/2014,מעילה,ד,ד-ה,תסג-ד-ה,ג-א
28/09/2014,מעילה,ד-ה,ו-א,תסה-ו,ב-א
29/09/2014,מעילה,ה,ב-ג,תסו,ב-ד
30/09/2014,מעילה,ה,ד-ה,תסו-ז,ה-א
01/10/2014,מעילה,ו,א-ב,תסז,ב-ד
02/10/2014,מעילה,ו,ג-ד,תסז,ה-ז
03/10/2014,מעילה,ו,ה-ו,תסז,ח-י
04/10/2014,תמיד,א,א-ב,תסז,יא-יג
05/10/2014,תמיד,א,ג-ד,תסז,יד-טז
06/10/2014,תמיד,ב,א-ב,תסח,א-ג
07/10/2014,תמיד,ב,ג-ד,תסח,ד-ו
08/10/2014,תמיד,ב-ג,ה-א,תסח,ז-ט
09/10/2014,תמיד,ג,ב-ג,תסח-ט-ע,י-א
10/10/2014,תמיד,ג,ד-ה,תע-א,ב-א
11/10/2014,תמיד,ג,ו-ז,תעא-ב,ב-א
12/10/2014,תמיד,ג,ח-ט,תעב,ב-ד
13/10/2014,תמיד,ד,א-ב,תעב,ה-ז
14/10/2014,תמיד,ד-ה,ג-א,תעב,ח-י
15/10/2014,תמיד,ה,ב-ג,תעב,יא-יג
16/10/2014,תמיד,ה,ד-ה,תעב,יד-טז
17/10/2014,תמיד,ה-ו,ו-א,תעג,א-ג
18/10/2014,תמיד,ו,ב-ג,תעג,ד-ו
19/10/2014,תמיד,ז,א-ב,תעג-ד-ה,ז-א
20/10/2014,תמיד,ז,ג-ד,תעה,ב-ד
21/10/2014,מידות,א,א-ב,תעה,ה-ז
22/10/2014,מידות,א,ג-ד,תעו-ז,א-א
23/10/2014,מידות,א,ה-ו,תעז-ח,ב-ב
24/10/2014,מידות,א,ז-ח,תעט-פ-א,א-א
25/10/2014,מידות,א-ב,ט-א,תפא-ב-ג,ב-א
26/10/2014,מידות,ב,ב-ג,תפד-ה-ו,א-א
27/10/2014,מידות,ב,ד-ה,תפז,א-ג
28/10/2014,מידות,ב-ג,ו-א,תפז-ח,ד-ב
29/10/2014,מידות,ג,ב-ג,תפח-ט,ג-ב
30/10/2014,מידות,ג,ד-ה,תפט,ג-ה
31/10/2014,מידות,ג,ו-ז,תפט,ו-ח
01/11/2014,מידות,ג-ד,ח-א,תפט-צ,ט-א
02/11/2014,מידות,ד,ב-ג,תצ,ב-ד
03/11/2014,מידות,ד,ד-ה,תצ,ה-ז
04/11/2014,מידות,ד,ו-ז,תצ-א,ח-א
05/11/2014,מידות,ה,א-ב,תצא-ב-ג,ב-א
06/11/2014,מידות,ה,ג-ד,תצג,ב-ד
07/11/2014,קנים,א,א-ב,תצד,א-ג
08/11/2014,קנים,א,ג-ד,תצה,א-ג
09/11/2014,קנים,ב,א-ב,תצה-ו,ד-ב
10/11/2014,קנים,ב,ג-ד,תצו-ז,ג-ב
11/11/2014,קנים,ב-ג,ה-א,תצז,ג-ה
12/11/2014,קנים,ג,ב-ג,תצז,ו-ח
13/11/2014,קנים,ג,ד-ה,תצז,ט-יא
14/11/2014,קנים-כלים,ג-א*),ו-א,תצז,יב-יד
15/11/2014,כלים,א,ב-ג,תצז,טו-יז
16/11/2014,כלים,א,ד-ה,תצח,א-ג
17/11/2014,כלים,א,ו-ז,תצח,ד-ו
18/11/2014,כלים,א,ח-ט,תצח,ז-ט
19/11/2014,כלים,ב,א-ב,תצח,י-יב
20/11/2014,כלים,ב,ג-ד,תצח,יג-טו
21/11/2014,כלים,ב,ה-ו,תצח,טז-יח
22/11/2014,כלים,ב,ז-ח,תצח-ט,יט-א
23/11/2014,כלים,ג,א-ב,תצט,ב-ד
24/11/2014,כלים,ג,ג-ד,תצט-ק,ה-ב
25/11/2014,כלים,ג,ה-ו,תק,ג-ה
26/11/2014,כלים,ג,ז-ח,תק-א,ו-ב
27/11/2014,כלים,ד,א-ב,תקא,ג-ה
28/11/2014,כלים,ד,ג-ד,תקא-ב,ו-א
29/11/2014,כלים,ה,א-ב,תקב,ב-ד
30/11/2014,כלים,ה,ג-ד,תקג-ד,א-א
01/12/2014,כלים,ה,ה-ו,תקד,ב-ד
02/12/2014,כלים,ה,ז-ח,תקה-ו,א-ב
03/12/2014,כלים,ה,ט-י,תקו,ג-ה
04/12/2014,כלים,ה-ו,יא-א,תקו,ו-ח
05/12/2014,כלים,ו,ב-ג,תקו-ז,ט-ב
06/12/2014,כלים,ו-ז,ד-א,תקז,ג-ה
07/12/2014,כלים,ז,ב-ג,תקז-ח,ו-א
08/12/2014,כלים,ז,ד-ה,תקח-ט,ב-ב
09/12/2014,כלים,ז-ח,ו-א,תקט,ג-ה
10/12/2014,כלים,ח,ב-ג,תקט-י,ו-א
11/12/2014,כלים,ח,ד-ה,תקי,ב-ד
12/12/2014,כלים,ח,ו-ז,תקי,ה-ז
13/12/2014,כלים,ח,ח-ט,תקי,ח-י
14/12/2014,כלים,ח,י-יא,תקי-א,יא-ב
15/12/2014,כלים,ט,א-ב,תקיא-ב,ג-א
16/12/2014,כלים,ט,ג-ד,תקיב-ג,ב-א
17/12/2014,כלים,ט,ה-ו,תקיג,ב-ד
18/12/2014,כלים,ט,ז-ח,תקיג,ה-ז
19/12/2014,כלים,י,א-ב,תקיג-ד,ח-ב
20/12/2014,כלים,י,ג-ד,תקיד,ג-ה
21/12/2014,כלים,י,ה-ו,תקיד,ו-ח
22/12/2014,כלים,י,ז-ח,תקיד,ט-יא
23/12/2014,כלים,יא,א-ב,תקטו,א-ג
24/12/2014,כלים,יא,ג-ד,תקטו,ד-ו
25/12/2014,כלים,יא,ה-ו,תקטו,ז-ט
26/12/2014,כלים,יא,ז-ח,תקטז,א-ג
27/12/2014,כלים,יא-יב,ט-א,תקיז,א-ג
28/12/2014,כלים,יב,ב-ג,תקיז-ח,ד-ב
29/12/2014,כלים,יב,ד-ה,תקיח,ג-ה
30/12/2014,כלים,יב,ו-ז,תקיח,ו-ח
31/12/2014,כלים,יב-יג,ח-א,תקיח-ט,ט-ב
